"sim","x","y","t"
"beta1",445230.060623453,4627912.54774488,2022-05-03 13:00:00
"beta1",445104.326979224,4627618.59636756,2022-05-03 14:00:00
"beta1",445365.408023658,4628126.60117815,2022-05-03 15:00:00
"beta1",446273.501079274,4627653.66193144,2022-05-03 16:00:00
"beta1",446337.076651632,4628168.99713992,2022-05-03 17:00:00
"beta1",447426.964061993,4628420.25873744,2022-05-03 18:00:00
"beta1",447084.871419625,4628989.68059491,2022-05-03 19:00:00
"beta1",448081.501354686,4629763.68932689,2022-05-03 20:00:00
"beta1",448202.541924883,4629513.24926261,2022-05-03 21:00:00
"beta1",447646.685350371,4629602.26016849,2022-05-03 22:00:00
"beta1",448321.722890337,4628794.70755379,2022-05-03 23:00:00
"beta1",447708.040728958,4628880.54998237,2022-05-04 00:00:00
"beta1",448185.194222207,4628732.41136995,2022-05-04 01:00:00
"beta1",447994.20029425,4629439.3345731,2022-05-04 02:00:00
"beta1",449235.128031293,4629466.53174619,2022-05-04 03:00:00
"beta1",449835.132113854,4629628.57435816,2022-05-04 04:00:00
"beta1",449382.928281578,4629998.2644883,2022-05-04 05:00:00
"beta1",449899.147003843,4629868.93860306,2022-05-04 06:00:00
"beta1",450053.944012629,4629949.05142488,2022-05-04 07:00:00
"beta1",451179.786069252,4630279.44334444,2022-05-04 08:00:00
"beta1",451225.640403067,4630646.23567195,2022-05-04 09:00:00
"beta1",451004.103945413,4630199.88046114,2022-05-04 10:00:00
"beta1",451409.984817954,4629828.09755598,2022-05-04 11:00:00
"beta1",451809.371321664,4630384.83612859,2022-05-04 12:00:00
"beta1",452540.587717359,4631173.72969149,2022-05-04 13:00:00
"beta1",451816.49436802,4632015.37433713,2022-05-04 14:00:00
"beta1",452195.286907979,4633090.8112815,2022-05-04 15:00:00
"beta1",451523.662498788,4633934.39019337,2022-05-04 16:00:00
"beta1",450840.72624053,4633578.9597363,2022-05-04 17:00:00
"beta1",450396.520737485,4633182.83033542,2022-05-04 18:00:00
"beta1",450823.561582757,4632829.86357405,2022-05-04 19:00:00
"beta1",450220.70994765,4633219.34917472,2022-05-04 20:00:00
"beta1",450728.702243056,4632908.93400914,2022-05-04 21:00:00
"beta1",450556.131148998,4633189.06965953,2022-05-04 22:00:00
"beta1",450839.960151365,4633806.74415606,2022-05-04 23:00:00
"beta1",451453.521381329,4633647.16318565,2022-05-05 00:00:00
"beta1",451440.297926802,4633461.74248764,2022-05-05 01:00:00
"beta1",451239.100689984,4633236.62166409,2022-05-05 02:00:00
"beta1",450312.945253791,4632961.83963319,2022-05-05 03:00:00
"beta1",451179.92780659,4632742.01299626,2022-05-05 04:00:00
"beta1",450866.188228887,4633057.63098903,2022-05-05 05:00:00
"beta1",451150.111029511,4632654.74596401,2022-05-05 06:00:00
"beta1",450640.590699275,4632831.81780488,2022-05-05 07:00:00
"beta1",450460.447216933,4633026.16656622,2022-05-05 08:00:00
"beta1",451486.159358456,4633059.14650331,2022-05-05 09:00:00
"beta1",451806.70362512,4633284.23039652,2022-05-05 10:00:00
"beta1",452032.255513807,4634030.10320845,2022-05-05 11:00:00
"beta1",452658.059334851,4634290.72547256,2022-05-05 12:00:00
"beta1",452942.587364685,4634431.20369023,2022-05-05 13:00:00
"beta1",453416.201238808,4634156.87811155,2022-05-05 14:00:00
"beta1",452226.808288244,4632978.56781458,2022-05-05 15:00:00
"beta1",451880.893710512,4633489.30526924,2022-05-05 16:00:00
"beta1",451085.046468844,4633554.45344463,2022-05-05 17:00:00
"beta1",450747.069475166,4633221.95070136,2022-05-05 18:00:00
"beta1",450876.362533158,4633159.23456824,2022-05-05 19:00:00
"beta1",451664.884368793,4634180.07491414,2022-05-05 20:00:00
"beta1",451913.668035876,4634821.24212473,2022-05-05 21:00:00
"beta1",452395.721787854,4635032.08345208,2022-05-05 22:00:00
"beta1",452147.873134912,4635818.73074098,2022-05-05 23:00:00
"beta1",452195.738570429,4635315.09499567,2022-05-06 00:00:00
"beta1",452007.676746164,4634783.14464414,2022-05-06 01:00:00
"beta1",452512.356231212,4633996.5859571,2022-05-06 02:00:00
"beta1",453421.001659911,4634254.28629389,2022-05-06 03:00:00
"beta1",452920.11424649,4634624.65689618,2022-05-06 04:00:00
"beta1",453629.612070456,4634326.87241975,2022-05-06 05:00:00
"beta1",452920.645551456,4634366.766169,2022-05-06 06:00:00
"beta1",452266.395200279,4634735.9952695,2022-05-06 07:00:00
"beta1",453010.583901139,4634506.4819921,2022-05-06 08:00:00
"beta1",452861.288414178,4634986.42783559,2022-05-06 09:00:00
"beta1",453466.436146276,4634620.37342223,2022-05-06 10:00:00
"beta1",453113.838279581,4634741.37100205,2022-05-06 11:00:00
"beta1",452533.199094365,4634407.31496091,2022-05-06 12:00:00
"beta1",452719.869889663,4634049.5381343,2022-05-06 13:00:00
"beta1",451822.190008537,4634353.92226962,2022-05-06 14:00:00
"beta1",451924.93995814,4634261.38045645,2022-05-06 15:00:00
"beta1",452572.970729065,4633768.37875724,2022-05-06 16:00:00
"beta1",451151.696992979,4633817.92050509,2022-05-06 17:00:00
"beta1",450825.624115706,4633359.01059651,2022-05-06 18:00:00
"beta1",450191.260217632,4632971.53117062,2022-05-06 19:00:00
"beta1",449722.171399992,4631997.89277318,2022-05-06 20:00:00
"beta1",448770.839964319,4631640.53760668,2022-05-06 21:00:00
"beta1",448714.200344212,4631314.21511777,2022-05-06 22:00:00
"beta1",448377.323005224,4630638.03094591,2022-05-06 23:00:00
"beta1",449019.030489112,4629763.95705587,2022-05-07 00:00:00
"beta1",449827.352995627,4629233.87266687,2022-05-07 01:00:00
"beta1",449464.407167749,4628866.77403785,2022-05-07 02:00:00
"beta1",449715.695392247,4628387.40495786,2022-05-07 03:00:00
"beta1",449808.196720462,4629074.60953354,2022-05-07 04:00:00
"beta1",449921.470160038,4629494.86803264,2022-05-07 05:00:00
"beta1",450124.196357235,4629430.74632028,2022-05-07 06:00:00
"beta1",449434.065926055,4629352.16677772,2022-05-07 07:00:00
"beta1",450004.643302308,4629757.77472016,2022-05-07 08:00:00
"beta1",450504.056979341,4629850.09626022,2022-05-07 09:00:00
"beta1",449976.936217034,4630094.47939959,2022-05-07 10:00:00
"beta1",450070.103113968,4629725.86418583,2022-05-07 11:00:00
"beta1",449822.706249728,4630234.8130455,2022-05-07 12:00:00
"beta1",449847.309613333,4629600.15422581,2022-05-07 13:00:00
"beta1",449711.782643011,4630514.76188899,2022-05-07 14:00:00
"beta1",449865.364606077,4630556.92522174,2022-05-07 15:00:00
"beta1",449799.045503703,4631253.62073005,2022-05-07 16:00:00
"beta1",451062.751883351,4630502.50734479,2022-05-07 17:00:00
"beta1",450073.256725121,4629761.16468327,2022-05-07 18:00:00
"beta1",449444.737011329,4629693.68199289,2022-05-07 19:00:00
"beta1",449965.806970186,4629501.06705284,2022-05-07 20:00:00
"beta1",449660.624635913,4629490.38590666,2022-05-07 21:00:00
"beta1",449729.087098061,4628969.64744278,2022-05-07 22:00:00
"beta1",450493.593840344,4630186.71067033,2022-05-07 23:00:00
"beta1",451021.571131257,4629656.47010176,2022-05-08 00:00:00
"beta1",451202.889396402,4629870.68338181,2022-05-08 01:00:00
"beta1",451809.331639446,4630837.9359127,2022-05-08 02:00:00
"beta1",452334.961817216,4629489.19454903,2022-05-08 03:00:00
"beta1",452062.198770704,4628923.32914056,2022-05-08 04:00:00
"beta1",451704.323368691,4629068.08918007,2022-05-08 05:00:00
"beta1",451516.64628318,4628473.9634758,2022-05-08 06:00:00
"beta1",450309.855105371,4629800.66932224,2022-05-08 07:00:00
"beta1",450196.170989115,4629260.45854113,2022-05-08 08:00:00
"beta1",450457.51306593,4629704.22432671,2022-05-08 09:00:00
"beta1",450983.807432096,4629301.28052641,2022-05-08 10:00:00
"beta1",450377.838065429,4629319.41118053,2022-05-08 11:00:00
"beta1",451138.588129446,4628564.95896861,2022-05-08 12:00:00
"beta1",450903.468518794,4629188.19566117,2022-05-08 13:00:00
"beta1",451048.519997795,4628228.31402216,2022-05-08 14:00:00
"beta1",450729.739500147,4627907.81430981,2022-05-08 15:00:00
"beta1",450796.970186796,4627671.35391583,2022-05-08 16:00:00
"beta1",450742.560723968,4627278.77321992,2022-05-08 17:00:00
"beta1",449877.327909125,4627528.39394224,2022-05-08 18:00:00
"beta1",449641.137980147,4627957.12982899,2022-05-08 19:00:00
"beta1",448862.624852093,4627474.45432792,2022-05-08 20:00:00
"beta1",448331.965922026,4627419.85812042,2022-05-08 21:00:00
"beta1",448454.215523023,4627335.76895426,2022-05-08 22:00:00
"beta1",449251.886655229,4628897.1179424,2022-05-08 23:00:00
"beta1",450082.406094021,4630035.90350418,2022-05-09 00:00:00
"beta1",450321.013037895,4630124.93906086,2022-05-09 01:00:00
"beta1",450660.52425644,4630112.66292218,2022-05-09 02:00:00
"beta1",449862.777926556,4629759.47923116,2022-05-09 03:00:00
"beta1",449966.3930717,4629121.13764565,2022-05-09 04:00:00
"beta1",449431.618649246,4628280.66469995,2022-05-09 05:00:00
"beta1",448255.373786207,4629004.08961658,2022-05-09 06:00:00
"beta1",449530.514512903,4628726.19754295,2022-05-09 07:00:00
"beta1",449189.727512745,4630029.97072641,2022-05-09 08:00:00
"beta1",449082.430236927,4630304.23851778,2022-05-09 09:00:00
"beta1",449438.81484241,4629926.89176387,2022-05-09 10:00:00
"beta1",449082.78306371,4630146.81424428,2022-05-09 11:00:00
"beta1",449185.60793368,4629537.55082678,2022-05-09 12:00:00
"beta1",448926.599007851,4630156.83524885,2022-05-09 13:00:00
"beta1",450843.690890303,4629428.11528844,2022-05-09 14:00:00
"beta1",449307.36002146,4629471.84826332,2022-05-09 15:00:00
"beta1",449948.669471794,4628799.6242436,2022-05-09 16:00:00
"beta1",449820.860322245,4629311.38636981,2022-05-09 17:00:00
"beta1",450316.698344341,4627856.97607443,2022-05-09 18:00:00
"beta1",449721.079529995,4627559.38525803,2022-05-09 19:00:00
"beta1",449206.005003827,4628204.9703963,2022-05-09 20:00:00
"beta1",450004.462512284,4628100.53737749,2022-05-09 21:00:00
"beta1",449932.074786568,4627769.55639686,2022-05-09 22:00:00
"beta1",449449.397260535,4628811.19301755,2022-05-09 23:00:00
"beta1",449216.610699046,4629933.80212143,2022-05-10 00:00:00
"beta1",448668.198289558,4630588.32094069,2022-05-10 01:00:00
"beta1",448482.121581783,4630200.86458964,2022-05-10 02:00:00
"beta1",448193.274166855,4629951.34602113,2022-05-10 03:00:00
"beta1",447978.910411207,4629858.33470149,2022-05-10 04:00:00
"beta1",448620.269606759,4628817.36617729,2022-05-10 05:00:00
"beta1",449305.658569244,4628517.6587913,2022-05-10 06:00:00
"beta1",449035.096366807,4628020.50493846,2022-05-10 07:00:00
"beta1",448018.240794337,4628276.84575215,2022-05-10 08:00:00
"beta1",448490.203109332,4628076.78234833,2022-05-10 09:00:00
"beta1",448198.577551118,4628392.51606106,2022-05-10 10:00:00
"beta1",448737.494087855,4628021.19220049,2022-05-10 11:00:00
"beta1",447873.163445951,4628189.21210403,2022-05-10 12:00:00
"beta1",448217.300312104,4629165.29028356,2022-05-10 13:00:00
"beta1",448261.294619777,4629609.14917,2022-05-10 14:00:00
"beta1",450242.102302382,4629552.77646087,2022-05-10 15:00:00
"beta1",449400.63509846,4629737.62322758,2022-05-10 16:00:00
"beta1",449757.667260247,4629304.6779878,2022-05-10 17:00:00
"beta1",449909.687076993,4629796.27507745,2022-05-10 18:00:00
"beta1",450117.755041716,4630018.69147061,2022-05-10 19:00:00
"beta1",449945.494568192,4630140.14206808,2022-05-10 20:00:00
"beta1",450560.259611362,4629934.1141226,2022-05-10 21:00:00
"beta1",449420.709192455,4630535.20305407,2022-05-10 22:00:00
"beta1",449484.540217353,4630288.24279076,2022-05-10 23:00:00
"beta1",449968.014784266,4629805.20456691,2022-05-11 00:00:00
"beta1",449649.938438813,4630334.15556615,2022-05-11 01:00:00
"beta1",449178.177833522,4630178.70436625,2022-05-11 02:00:00
"beta1",449175.260665036,4629486.01863389,2022-05-11 03:00:00
"beta1",449476.806084212,4629737.1123465,2022-05-11 04:00:00
"beta1",449313.110606973,4630016.36896767,2022-05-11 05:00:00
"beta1",449354.06405859,4629215.54562095,2022-05-11 06:00:00
"beta1",448982.436737854,4628812.12232437,2022-05-11 07:00:00
"beta1",448144.280942551,4629522.88834448,2022-05-11 08:00:00
"beta1",448281.598866734,4629335.2877892,2022-05-11 09:00:00
"beta1",449290.600198747,4629453.67690695,2022-05-11 10:00:00
"beta1",450298.943869591,4629730.68872174,2022-05-11 11:00:00
"beta1",450945.281037704,4629873.69269954,2022-05-11 12:00:00
"beta1",451301.70564073,4629841.90850281,2022-05-11 13:00:00
"beta1",450984.108322953,4629920.62758494,2022-05-11 14:00:00
"beta1",450341.226989874,4629800.10823038,2022-05-11 15:00:00
"beta1",449832.595941266,4629460.00811941,2022-05-11 16:00:00
"beta1",449906.073288293,4629047.77989567,2022-05-11 17:00:00
"beta1",449543.481545914,4628855.92463687,2022-05-11 18:00:00
"beta1",449431.559612399,4628134.92384569,2022-05-11 19:00:00
"beta1",449576.220251785,4627605.74072194,2022-05-11 20:00:00
"beta1",449864.796518533,4627875.69080212,2022-05-11 21:00:00
"beta1",449795.823792692,4628566.84730357,2022-05-11 22:00:00
"beta1",450402.350265624,4628145.72061366,2022-05-11 23:00:00
"beta1",450404.797774357,4628517.54790823,2022-05-12 00:00:00
"beta1",451085.789683811,4629693.20749985,2022-05-12 01:00:00
"beta1",451364.265634291,4630125.93487651,2022-05-12 02:00:00
"beta1",451482.528373024,4628917.62222368,2022-05-12 03:00:00
"beta1",451304.911764971,4628777.03306351,2022-05-12 04:00:00
"beta1",451648.476014808,4628246.15086103,2022-05-12 05:00:00
"beta1",450914.272802113,4628028.90770358,2022-05-12 06:00:00
"beta1",450643.163204173,4627679.95271707,2022-05-12 07:00:00
"beta1",449711.920708494,4627316.02794714,2022-05-12 08:00:00
"beta1",449774.80372891,4626199.25229115,2022-05-12 09:00:00
"beta1",449536.543429344,4625752.06506851,2022-05-12 10:00:00
"beta1",449289.598998655,4625841.63687545,2022-05-12 11:00:00
"beta1",448851.557884762,4625010.37312125,2022-05-12 12:00:00
"beta1",448767.72697489,4624118.4181809,2022-05-12 13:00:00
"beta1",448229.921996542,4623581.55326333,2022-05-12 14:00:00
"beta1",448830.185236944,4622794.85329711,2022-05-12 15:00:00
"beta1",448290.546637331,4622989.93890776,2022-05-12 16:00:00
"beta1",448636.949871068,4622017.30307212,2022-05-12 17:00:00
"beta1",448365.578562564,4621327.01681009,2022-05-12 18:00:00
"beta1",447777.85374689,4621129.45207151,2022-05-12 19:00:00
"beta1",448408.008637148,4620837.51404457,2022-05-12 20:00:00
"beta1",448219.475427482,4621087.49110505,2022-05-12 21:00:00
"beta1",448795.255453241,4621113.06639991,2022-05-12 22:00:00
"beta1",448461.459370067,4620548.46155227,2022-05-12 23:00:00
"beta1",448408.61175191,4619871.13565361,2022-05-13 00:00:00
"beta1",448505.472983944,4619525.58862196,2022-05-13 01:00:00
"beta1",448205.52757227,4619504.39658521,2022-05-13 02:00:00
"beta1",448403.256506188,4619228.27605238,2022-05-13 03:00:00
"beta1",448519.114579353,4620233.44130355,2022-05-13 04:00:00
"beta1",448289.947315235,4619834.91296469,2022-05-13 05:00:00
"beta1",447681.158771721,4620015.32189796,2022-05-13 06:00:00
"beta1",447238.668929314,4619684.33873784,2022-05-13 07:00:00
"beta1",447013.598362156,4619824.45603881,2022-05-13 08:00:00
"beta1",447068.265273438,4620226.08175046,2022-05-13 09:00:00
"beta1",446439.489188982,4620015.98345617,2022-05-13 10:00:00
"beta1",446568.515829409,4618935.42936085,2022-05-13 11:00:00
"beta1",446552.515076574,4618445.21573972,2022-05-13 12:00:00
"beta1",446254.473601565,4618370.2807227,2022-05-13 13:00:00
"beta1",446066.166247772,4618462.1966823,2022-05-13 14:00:00
"beta1",447195.652590389,4618808.90520969,2022-05-13 15:00:00
"beta1",447241.431189287,4619189.58641773,2022-05-13 16:00:00
"beta1",447584.431433978,4619036.17686496,2022-05-13 17:00:00
"beta1",447431.144305031,4620060.52151158,2022-05-13 18:00:00
"beta1",448211.510826804,4619953.66730194,2022-05-13 19:00:00
"beta1",447991.656588187,4619544.39405218,2022-05-13 20:00:00
"beta1",447381.057030595,4619951.74423404,2022-05-13 21:00:00
"beta1",447348.842376266,4619816.17923767,2022-05-13 22:00:00
"beta1",446622.494788728,4620480.61115981,2022-05-13 23:00:00
"beta1",446394.841158355,4620879.17073143,2022-05-14 00:00:00
"beta1",446944.648634913,4620857.46968674,2022-05-14 01:00:00
"beta1",447114.220354217,4621273.05532345,2022-05-14 02:00:00
"beta1",447403.568540501,4621445.8750059,2022-05-14 03:00:00
"beta1",447488.604333115,4621802.88237698,2022-05-14 04:00:00
"beta1",448284.371056002,4622550.84990955,2022-05-14 05:00:00
"beta1",447853.110347194,4622850.68936068,2022-05-14 06:00:00
"beta1",447353.601321799,4622760.60865958,2022-05-14 07:00:00
"beta1",446774.357211387,4622461.92465311,2022-05-14 08:00:00
"beta1",447106.542484528,4622051.30104515,2022-05-14 09:00:00
"beta1",446569.851774868,4621840.38037974,2022-05-14 10:00:00
"beta1",446717.834148592,4621167.7214335,2022-05-14 11:00:00
"beta1",445961.868154644,4621338.41357944,2022-05-14 12:00:00
"beta1",445470.390259451,4621101.86716632,2022-05-14 13:00:00
"beta1",445015.636473557,4621145.82002905,2022-05-14 14:00:00
"beta1",445443.47916122,4620742.78797963,2022-05-14 15:00:00
"beta1",446233.266836996,4620825.52575723,2022-05-14 16:00:00
"beta1",446036.718936282,4620895.42532962,2022-05-14 17:00:00
"beta1",446626.242525475,4620403.10105186,2022-05-14 18:00:00
"beta1",446756.402032397,4621231.92482145,2022-05-14 19:00:00
"beta1",447411.957049146,4621665.82594365,2022-05-14 20:00:00
"beta1",446506.908937104,4622530.20864071,2022-05-14 21:00:00
"beta1",447040.680553854,4622329.36492967,2022-05-14 22:00:00
"beta1",446775.588111925,4622593.07015255,2022-05-14 23:00:00
"beta1",446544.984526919,4622892.67488477,2022-05-15 00:00:00
"beta1",446784.921014908,4621852.28724384,2022-05-15 01:00:00
"beta1",446045.229647714,4620840.00413277,2022-05-15 02:00:00
"beta1",446166.750096356,4621568.38897068,2022-05-15 03:00:00
"beta1",447382.907380958,4621510.06969426,2022-05-15 04:00:00
"beta1",447429.673074729,4621409.41198966,2022-05-15 05:00:00
"beta1",445550.935963945,4621493.12959879,2022-05-15 06:00:00
"beta1",446031.432241827,4621832.94676074,2022-05-15 07:00:00
"beta1",445266.04474402,4622606.67246293,2022-05-15 08:00:00
"beta1",445723.545853183,4622851.64729452,2022-05-15 09:00:00
"beta1",445525.672417356,4623798.0353683,2022-05-15 10:00:00
"beta1",445368.503639973,4623069.68446735,2022-05-15 11:00:00
"beta1",444212.868046242,4623287.04463322,2022-05-15 12:00:00
"beta1",443482.793398692,4623075.98805339,2022-05-15 13:00:00
"beta1",443321.147806354,4622478.04447434,2022-05-15 14:00:00
"beta1",442758.773079764,4621965.94634986,2022-05-15 15:00:00
"beta1",442845.350093735,4621200.93333032,2022-05-15 16:00:00
"beta1",442614.909102501,4620720.14673103,2022-05-15 17:00:00
"beta1",442376.436140047,4620417.18593168,2022-05-15 18:00:00
"beta1",442691.233575837,4619954.59918032,2022-05-15 19:00:00
"beta1",442162.849378434,4620838.89337413,2022-05-15 20:00:00
"beta1",442044.554333626,4620058.3871401,2022-05-15 21:00:00
"beta1",442117.021630248,4620737.34157905,2022-05-15 22:00:00
"beta1",442296.155459255,4620328.81611397,2022-05-15 23:00:00
"beta1",441546.336265626,4620024.27086324,2022-05-16 00:00:00
"beta1",441808.086180518,4619333.29687125,2022-05-16 01:00:00
"beta1",441927.574999091,4620656.7515233,2022-05-16 02:00:00
"beta1",442418.13534699,4621022.11843305,2022-05-16 03:00:00
"beta1",442329.73293055,4621668.593598,2022-05-16 04:00:00
"beta1",442745.329711875,4621363.94551595,2022-05-16 05:00:00
"beta1",443596.548237631,4621042.61712427,2022-05-16 06:00:00
"beta1",442805.658462318,4621712.64549741,2022-05-16 07:00:00
"beta1",442663.955715044,4621495.74077686,2022-05-16 08:00:00
"beta1",442981.298710229,4621701.01798222,2022-05-16 09:00:00
"beta1",443239.477057729,4621031.50499049,2022-05-16 10:00:00
"beta1",443128.233170943,4621047.39836104,2022-05-16 11:00:00
"beta1",442073.126293387,4620374.95210937,2022-05-16 12:00:00
"beta1",441163.454250214,4620019.88123673,2022-05-16 13:00:00
"beta1",440746.226320542,4619843.15540387,2022-05-16 14:00:00
"beta1",439546.021961319,4618811.53078811,2022-05-16 15:00:00
"beta1",439728.735486085,4617965.57682402,2022-05-16 16:00:00
"beta1",439571.245258887,4617583.54314581,2022-05-16 17:00:00
"beta1",439083.767545817,4617006.7146603,2022-05-16 18:00:00
"beta1",438182.907138671,4617470.02937365,2022-05-16 19:00:00
"beta1",438798.995310197,4617279.33423652,2022-05-16 20:00:00
"beta1",438085.543248895,4617158.86858767,2022-05-16 21:00:00
"beta1",438441.879034575,4617299.2106887,2022-05-16 22:00:00
"beta1",438251.185451618,4617846.71709593,2022-05-16 23:00:00
"beta1",438334.409405434,4617519.02491819,2022-05-17 00:00:00
"beta1",438641.072867338,4616870.68756222,2022-05-17 01:00:00
"beta1",438246.369493457,4617483.4448696,2022-05-17 02:00:00
"beta1",439188.091863178,4617070.2131225,2022-05-17 03:00:00
"beta1",439626.834207473,4617669.45594881,2022-05-17 04:00:00
"beta1",440412.046150014,4617736.87530792,2022-05-17 05:00:00
"beta1",440389.356080862,4619126.45890933,2022-05-17 06:00:00
"beta1",439905.376972568,4618448.99306867,2022-05-17 07:00:00
"beta1",439727.11913923,4618151.89517198,2022-05-17 08:00:00
"beta1",439343.865591934,4618058.93218205,2022-05-17 09:00:00
"beta1",439459.668916057,4617845.09655464,2022-05-17 10:00:00
"beta1",439756.744732735,4616989.12512644,2022-05-17 11:00:00
"beta1",439152.948050496,4617097.73939788,2022-05-17 12:00:00
"beta1",439572.392246908,4616503.66593687,2022-05-17 13:00:00
"beta1",439300.95057587,4616988.11897205,2022-05-17 14:00:00
"beta1",439950.419744747,4616761.4431801,2022-05-17 15:00:00
"beta1",440533.790466507,4616859.9764585,2022-05-17 16:00:00
"beta1",440500.174289681,4617326.94740921,2022-05-17 17:00:00
"beta1",440848.513419981,4617963.50609213,2022-05-17 18:00:00
"beta1",440844.182616122,4618763.44038118,2022-05-17 19:00:00
"beta1",440912.036774598,4618515.03657087,2022-05-17 20:00:00
"beta1",440515.788606195,4618606.63801262,2022-05-17 21:00:00
"beta1",441636.287952431,4617346.6524348,2022-05-17 22:00:00
"beta1",441894.144621868,4617959.5618215,2022-05-17 23:00:00
"beta1",442128.792042003,4618255.08760594,2022-05-18 00:00:00
"beta1",441623.303897894,4618326.73443021,2022-05-18 01:00:00
"beta1",440972.282005076,4617717.97097685,2022-05-18 02:00:00
"beta1",440695.113779091,4617467.61448846,2022-05-18 03:00:00
"beta1",440284.277361112,4618260.80516921,2022-05-18 04:00:00
"beta1",441121.259731708,4618434.16229999,2022-05-18 05:00:00
"beta1",441650.148885975,4618572.70068297,2022-05-18 06:00:00
"beta1",441482.033420386,4618706.03813844,2022-05-18 07:00:00
"beta1",442019.587347609,4618690.14750678,2022-05-18 08:00:00
"beta1",442075.085541375,4618290.93806212,2022-05-18 09:00:00
"beta1",441261.709769974,4618295.95722489,2022-05-18 10:00:00
"beta1",440804.564265734,4618040.0947766,2022-05-18 11:00:00
"beta1",440345.666552099,4617715.08567528,2022-05-18 12:00:00
"beta1",440682.637650574,4617974.61312428,2022-05-18 13:00:00
"beta1",439943.45554453,4618363.77278502,2022-05-18 14:00:00
"beta1",440427.868039451,4617947.94799193,2022-05-18 15:00:00
